PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Don Ford,1976,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara"
Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",UNC
Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson
Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",Texas
Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",UNC
Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",Arkansas
Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati
Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso"
Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
Rod Foster,1984,1986,G,6-1,160,"October 10, 1960",UCLA
Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",
Evan Fournier,2013,2021,G-F,6-7,205,"October 29, 1992",
Tremaine Fowlkes,2002,2005,F,6-8,220,"April 11, 1976","California, Fresno State"
De'Aaron Fox,2018,2021,G,6-3,185,"December 20, 1997",Kentucky
Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",UNC
Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova
Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate
Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga
Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",Maryland
Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky
Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State
Melvin Frazier,2019,2020,G,6-5,215,"August 30, 1996",Tulane
Michael Frazier,2020,2020,G,6-3,200,"March 8, 1994",Florida
Tim Frazier,2015,2020,G,6-0,170,"November 1, 1990",Penn State
Walt Frazier,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois
Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine
Jimmer Fredette,2012,2019,G,6-2,195,"February 25, 1989",BYU
World B. Free,1976,1988,G,6-2,185,"December 9, 1953",Guilford College
Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",
Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt
Channing Frye,2006,2019,C-F,7-0,255,"May 17, 1983",Arizona
Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981",Fresno State
Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",NC State
Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958",Pepperdine
Markelle Fultz,2018,2021,G,6-3,209,"May 29, 1998",Washington
Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970","Indiana, Ohio State"
Terry Furlow,1977,1980,G-F,6-4,190,"October 18, 1954",Michigan State
