PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Quinton Ross,2005,2011,G,6-6,195,"April 30, 1981",SMU
Terrence Ross,2013,2021,F-G,6-6,206,"February 5, 1991",Washington
Doug Roth,1990,1990,C,6-11,255,"August 24, 1967",Tennessee
Scott Roth,1988,1990,F,6-8,212,"June 3, 1963",Wisconsin
Dan Roundfield,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University
Ron Rowan,1987,1987,G,6-5,200,"April 23, 1962","Notre Dame, St. John's"
Jim Rowinski,1989,1990,F-C,6-8,250,"January 4, 1961",Purdue
Derrick Rowland,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam
Brian Rowsom,1988,1990,F,6-9,220,"October 23, 1965",UNC Wilmington
Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",Washington
Donald Royal,1990,1998,F,6-8,210,"May 22, 1966",Notre Dame
Clifford Rozier,1995,1998,C-F,6-11,245,"October 31, 1972","UNC, Louisville"
Terry Rozier,2016,2021,G,6-1,190,"March 17, 1994",Louisville
Ricky Rubio,2012,2021,G,6-3,190,"October 21, 1990",
Guy Rucker,2003,2003,F-C,6-11,265,"July 27, 1977",Iowa
Delaney Rudd,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest
Damjan Rudez,2015,2017,F,6-10,228,"June 17, 1986",
Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",Tulsa
Trevor Ruffin,1995,1996,G,6-1,185,"September 26, 1970",Hawaii
Jeff Ruland,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College
Stefano Rusconi,1996,1996,C-F,6-9,240,"October 2, 1968",
Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",Kansas
Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",Missouri
Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970",Cal State Long Beach
Campy Russell,1975,1985,F,6-8,215,"January 12, 1952",Michigan
D'Angelo Russell,2016,2021,G,6-4,193,"February 23, 1996",Ohio State
Walker Russell,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan"
Walker Russell,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
