PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Wayne Englestad,1989,1989,F,6-8,245,"December 6, 1966","University of California, Irvine"
A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
Alex English,1977,1991,F,6-7,190,"January 5, 1954",South Carolina
Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina
Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri
James Ennis,2015,2020,F,6-6,215,"July 1, 1990",Cal State Long Beach
Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse
Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
Julius Erving,1972,1987,F-G,6-7,210,"February 22, 1950",UMass
Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern
Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",
Drew Eubanks,2019,2021,F,6-9,245,"February 1, 1997",Oregon State
Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana
Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV"
Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati
Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State
Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky
Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas"
Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State
Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",Iowa
Tyreke Evans,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis
Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke
Patrick Ewing,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown
Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown"
Dante Exum,2015,2021,G,6-5,214,"July 13, 1995",
Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt
